Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Fix versions,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
"As a venue owner, I want to edit or remove existing extra services, so that I can keep offerings up to date.",VEN-37,10150,Story,To Do,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Medium,,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 12:23 PM,11/Sep/25 5:41 PM,11/Sep/25 4:11 PM,,,Version 1,,0,food-services,"Acceptance critera:

* Venue owner can update details of existing services.
* Venue owner can remove services; removed services are no longer visible to customers.
* Confirmation message is displayed after update or removal.",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4f5b459b,,,,,,,,,,,,,,,,0|i000nz:,,,,,,,,,,,,,,,10104,VEN-5,Food &Extra Services,To Do,11/Sep/25 12:23 PM
"As a venue owner, I want to add extra services with details and pricing, so that customers can select them during booking.",VEN-36,10148,Story,To Do,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Medium,,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 12:22 PM,11/Sep/25 5:41 PM,11/Sep/25 4:11 PM,,,Version 1,,0,food-services,"Acceptance criteria:

* Venue owner can add new extra services with name, description, price, and availability.
* Services are saved correctly in the database and visible to customers.
* Validation ensures required fields are filled and prices are valid.",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5f4b5c45,,,,,,,,,,,,,,,,0|i000nr:,,,,,,,,,,,,,,,10104,VEN-5,Food &Extra Services,To Do,11/Sep/25 12:22 PM
"As a customer, I want to modify or remove selected extra services before confirming the booking, so that I can adjust my booking as needed.",VEN-35,10146,Story,To Do,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Medium,,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 12:21 PM,11/Sep/25 5:41 PM,11/Sep/25 4:11 PM,,,Version 1,,0,food-services,"Acceptance criteria:

* Customer can remove or change extras before confirming the booking.
* Changes are reflected in the booking summary and total price.


",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@769c5f67,,,,,,,,,,,,,,,,0|i000nj:,,,,,,,,,,,,,,,10104,VEN-5,Food &Extra Services,To Do,11/Sep/25 12:21 PM
"As a customer, I want to add extra services (food, decoration, equipment) during booking, so that my booking meets all my requirements.",VEN-34,10144,Story,To Do,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Medium,,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 12:20 PM,11/Sep/25 5:41 PM,11/Sep/25 4:09 PM,,,Version 1,,0,food-services,"Acceptance criteria:

* Customer can select one or more extras during booking.
* Selected extras are added to the booking summary and total cost.
* System prevents selection of unavailable or removed services.",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@760447bf,,,,,,,,,,,,,,,,0|i000nb:,,,,,,,,,,,,,,,10104,VEN-5,Food &Extra Services,To Do,11/Sep/25 12:20 PM
"As a customer, I want to see all extra services offered by a venue, so that I can choose the ones I need.",VEN-33,10142,Story,To Do,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Medium,,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 12:18 PM,11/Sep/25 5:41 PM,11/Sep/25 5:44 PM,,,Version 1,,0,food-services,"Acceptance criteria:

* Customer can see a list of all extras services for the selected venue.",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@144e2b92,,,,,,,,,,,,,,,,0|i000n3:,,,,,,,,,,,,,,,10104,VEN-5,Food &Extra Services,To Do,11/Sep/25 12:18 PM
"As a venue owner, I want to be notified when a customer completes a payment, so that I can confirm the booking.",VEN-32,10140,Story,To Do,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Medium,,bijayakarki746,712020:39550118-a372-4264-a729-e05cb8280bb0,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 12:06 PM,11/Sep/25 5:41 PM,11/Sep/25 4:08 PM,,,Version 1,,0,venue-mgmt,"Acceptance criteria:

* Venue owner receives notification (UI alert/email optional) when a customer successfully pays.
* Notification includes booking ID, customer name, amount, and date.",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@39f43068,,,,,,,,,,,,,,,,0|i000mv:,,,,,,,,,,,,,,,10103,VEN-4,Payment ,To Do,11/Sep/25 12:06 PM
"As a venue owner, I want to view all payments received for my bookings, so that I can track revenue.",VEN-31,10138,Story,To Do,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Medium,,bijayakarki746,712020:39550118-a372-4264-a729-e05cb8280bb0,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 12:06 PM,11/Sep/25 5:41 PM,11/Sep/25 3:27 PM,,,Version 1,,0,payment,"Acceptance criteria:

* Venue owner can access a list of all payments received for their venues.
* Each payment entry shows booking details, customer, amount, date, and payment method.
* Payments are updated in real-time or on page refresh.",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@21c86f01,,,,,,,,,,,,,,,,0|i000mn:,,,,,,,,,,,,,,,10103,VEN-4,Payment ,To Do,11/Sep/25 12:06 PM
"As a customer, I want to view all my past payments, so that I can track my spending and booking transactions.",VEN-30,10136,Story,To Do,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Medium,,bijayakarki746,712020:39550118-a372-4264-a729-e05cb8280bb0,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 12:05 PM,11/Sep/25 5:41 PM,11/Sep/25 3:27 PM,,,Version 1,,0,payment,"Acceptance criteria:

* Customer can access a list of past payments in their account.
* Each entry shows relevant information (venue, date, payment method, amount, status).
* History updates in real-time when new payments or refunds occur.
* Customer cannot view other users’ payment history.",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@662627a0,,,,,,,,,,,,,,,,0|i000mf:,,,,,,,,,,,,,,,10103,VEN-4,Payment ,To Do,11/Sep/25 12:05 PM
"As a customer, I want to be notified if my payment fails, so that I can retry or use another payment method.",VEN-29,10134,Story,To Do,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Medium,,bijayakarki746,712020:39550118-a372-4264-a729-e05cb8280bb0,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 12:03 PM,11/Sep/25 5:41 PM,11/Sep/25 3:26 PM,,,Version 1,,0,payment,"Acceptance criteria:

* Customer receives a clear error message if payment fails (e.g., “Payment failed: insufficient balance”).
* Failed payment does not confirm the booking.
* Customer can retry payment with the same or another method.",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@535dfc22,,,,,,,,,,,,,,,,0|i000m7:,,,,,,,,,,,,,,,10103,VEN-4,Payment ,To Do,11/Sep/25 12:03 PM
"As a customer, I want to receive confirmation after a successful payment, so that I know my booking is valid.",VEN-28,10132,Story,Finish,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Medium,,bijayakarki746,712020:39550118-a372-4264-a729-e05cb8280bb0,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 12:03 PM,11/Sep/25 8:28 PM,11/Sep/25 8:15 PM,,,Version 1,,0,payment,"Acceptance criteria:

* Customer receives a confirmation message/UI notification immediately after successful payment.
* Confirmation includes booking details, payment amount, and transaction ID.
* Optional: Customer receives email/SMS confirmation if implemented.",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@54905ac0,,,,,,,,,,,,,,,,0|i000hi:,,,VEN Sprint 1,,,,,,,,,,,,10103,VEN-4,Payment ,In Progress,11/Sep/25 8:24 PM
"As a customer, I want to pay for my venue booking using a secure payment method, so that my reservation is confirmed.",VEN-27,10130,Story,Finish,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,High,,bijayakarki746,712020:39550118-a372-4264-a729-e05cb8280bb0,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 12:02 PM,11/Sep/25 8:27 PM,11/Sep/25 8:10 PM,,,Version 1,,0,payment,"Acceptance criteria:


* Customer can select a payment method (credit/debit card, mobile payment, etc.).
* System securely processes the payment via integrated payment gateway.
* Payment amount matches the total basic booking cost.
* Payment is saved in the database with relevant details (transaction ID, date, status).",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,,VEN-44,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4bb99e6f,,,,,,,,,,,,,,,,0|i000h9:i,,,VEN Sprint 1,,,,,,,,,,,,10103,VEN-4,Payment ,In Progress,11/Sep/25 8:10 PM
